Height	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	label
1224.59	138.466	161.911	180	180	162.672	163.256	2
1226.67	111.605	162.943	179.98	179.98	162.603	166.433	2
1226.59	137.607	163.389	179.98	179.98	162.627	163.594	2
1223.43	132.238	163.337	180	179.98	163.128	164.189	2
1189.94	132.608	106.466	180	180	164.173	170.695	2
1191.74	135.862	144.725	179.98	179.98	164.56	162.664	2
1202.76	129.75	170.383	180	180	163.764	165.902	2
1191.77	165.603	158.848	180	180	164.279	163.023	2
1190.78	163.247	143.368	180	180	164.003	164.613	2
1194.55	157.164	145.61	180	180	163.112	163.702	2
1200.76	137.453	166.603	179.98	180	162.676	166.352	2
1150.25	134.257	105.207	180	180	162.263	160.206	2
1151.53	150.489	123.638	179.98	179.98	161.479	158.718	2
1143.78	111.127	144.587	180	180	161.421	163.546	2
1127.8	120.895	136.274	179.98	180	164.585	163.88	2
1110.75	118.09	118.212	180	180	166.177	164.828	2
1136	159.838	107.891	180	180	168.765	163.241	2
1133.32	153.15	98.8417	180	180	169.521	166.645	2
1130.16	146.838	93.041	179.98	179.98	167.567	163.377	2
1121.15	132.125	114.861	180	180	164.211	161.395	2
1111.96	100.689	94.42	180	180	164.623	175.887	2
1105.46	100.44	89.4437	179.98	180	165.464	176.866	2
1092.68	94.1451	85.0969	179.98	180	166.354	178.512	2
1079.24	84.9161	76.866	179.98	179.98	166.439	177.69	2
1144.55	143.809	107.81	180	180	166.938	159.6	2
1120.95	117.933	111.257	179.98	180	169.262	165.408	2
1133.03	125.851	118.642	179.98	179.98	169.689	168.726	2
1162.21	110.681	124.114	180	180	174.813	171.367	2
1190.07	146.981	149.312	180	179.98	170.312	172	2
1177.29	142.814	141.87	180	180	161.8	161.772	2
1185.36	157.413	128.133	180	180	152.451	152.235	2
1137.17	113.174	134.472	180	180	162.991	167.322	2
1155.12	116.743	153.089	180	180	162.257	164.258	2
1119.88	104.693	121.76	179.98	179.98	162.162	166.075	2
1133.05	140.385	157.118	179.98	179.98	164.428	162.451	2
1131.3	126.349	156.287	180	180	161.834	156.614	2
1121.09	107.219	99.2207	180	180	163.368	152.318	2
1087.96	84.7397	85.1601	179.98	179.98	162.712	156.231	2
1083	94.8896	92.4689	179.98	179.98	152.904	136.969	2
1083.39	86.6446	95.9501	180	180	151.369	131.887	2
1081.06	91.0316	93.4817	180	179.98	151.298	130.782	2
1116.48	96.0676	107.355	180	180	152.724	135.254	2
1130.62	136.45	112.577	180	180	154.039	154.3	2
1132.79	97.5918	100.584	180	180	157.823	141.364	2
1156.8	102.329	120.133	180	179.98	158.427	146.973	2
1103.47	94.9139	98.3611	180	180	158.63	146.466	2
1110.59	98.8703	108.486	180	180	157.743	145.212	2
1099.14	106.336	105.542	179.98	180	156.893	144.228	2
1074.98	104.722	96.7757	179.98	179.98	156.393	145.837	2
1071.24	99.8025	108.284	180	179.98	156.241	145.275	2
1074.65	115.181	104.805	180	180	156.045	145.194	2
1070.67	116.607	109.269	180	180	155.86	145.163	2
1060.52	114.763	122.094	180	180	156.307	148.102	2
1071.47	128.634	134.546	179.98	180	156.531	148.011	2
1083.2	120.917	148.526	179.98	180	156.998	149.925	2
1042.78	117.373	115.134	179.98	180	158.226	150.919	2
1065.27	111.715	131.755	179.98	179.98	159.596	150.844	2
1047.22	117.2	117.668	179.98	179.98	161.065	149.986	2
1090.25	128.791	142.468	180	180	166.246	159.313	2
1098.49	121.364	142.381	180	179.966	168.241	160.907	2
1066.59	137.717	134.993	179.972	179.972	171.881	164.742	2
